SI.No.,States,Districts - Total,Districts - Drought Effected,Blocks - Total,Blocks - Drought Effected,Panchayats - Total,Panchayats - Drought Effected,Central funds released 2016-17
1,ANDHRA PRADESH,13,10,661,347,13084,6506,282042.2
2,CHHATTISGARH,27,22,146,90,10971,6755,102119.7
3,JHARKHAND,24,24,264,263,4422,4421,78916.7
4,KARNATAKA,30,27,176,136,6093,4436,65011.33
5,MADHYA PRADESH,51,42,313,225,22827,17144,140716.2
6,MAHARASHTRA,34,21,354,163,28675,11901,81729.8
7,ODISHA,30,26,314,215,6233,4115,52807.39
8,RAJASTHAN,33,19,295,120,9896,2900,66502.27
9,TELANGANA,9,7,438,231,8831,4938,120299.9
10,UTTAR PRADESH,75,50,824,541,59177,33818,56232.12
Total,Total,661,248,6870,2331,262369,96934,1046377.62
